363b55b - AlmostEfficient, 2 minutes ago : Added basic commit log file
e02d262 - AlmostEfficient, 7 minutes ago : Merge branch 'master' of https://github.com/lakshaysethi/Assignment_3_Mobile_Dev
ccbc502 - AlmostEfficient, 8 minutes ago : Added timesheets PDf
e687f99 - lakshaysethi, 13 minutes ago : Update .project and org.eclipse.buildship.core.prefs
99f7663 - AlmostEfficient, 54 minutes ago : Workaround for manual refresh issue on assign
2713d7e - Abdullah Raza, 66 minutes ago : Merge pull request #71 from lakshaysethi/assign-fix
a1da9f3 - AlmostEfficient, 68 minutes ago : Adjusted position of refresh button so its not blocking anything
f7744a1 - AlmostEfficient, 82 minutes ago : Optimised assign function, fixed multiple job assing bug #70
c2b1e9c - AlmostEfficient, 2 hours ago : Overwrite issue persists, backing up before overhaul
4049383 - AlmostEfficient, 6 hours ago : Resetting Firebase data every launch for testing purposes
3367989 - danica, 17 hours ago : update dev journal
77e6e7c - AlmostEfficient, 18 hours ago : Broken fix
6fc6801 - danica, 19 hours ago : Merge remote-tracking branch 'origin/master-test'
be0ab2c - danica, 19 hours ago : update notification ui
07f12e3 - danica, 19 hours ago : driver: change card background color after message send
4fc9b55 - AlmostEfficient, 23 hours ago : Added a refresh button on admin activity to get rid of assigned packages
15751bf - Midlanr, 23 hours ago : Checking if driver is null before adding to recyclerview #62
45094f1 - Midlanr, 24 hours ago : Merge branch 'master' into master-test
f2c440e - Midlanr, 24 hours ago : Moved getSelectedJobs to assign button on admin activity from dialog
1a3da70 - Midlanr, 24 hours ago : Compelted iterating over selected jobs
bfd533f - Midlanr, 25 hours ago : Merge branch 'assign2' of https://github.com/lakshaysethi/Assignment_3_Mobile_Dev into assign2
67b3eec - Midlanr, 25 hours ago : Push to merge
86ef23c - danica, 25 hours ago : Merge branch 'assign2' of https://github.com/lakshaysethi/Assignment_3_Mobile_Dev into assign2
e848679 - danica, 25 hours ago : add get job in list
941cf99 - Midlanr, 26 hours ago : Broken get index of recyclerview item clicked
619f08e - danica, 26 hours ago : Fix receiver not show list issue
c8849cb - danica, 27 hours ago : update dev journal
368c659 - Midlanr, 27 hours ago : Tested assigning driver to static tracking number package
c87a57d - Midlanr, 27 hours ago : Completed first iteration of update parcel list
6360707 - danica, 29 hours ago : Delivery message, fix crash in background
4ad8dfa - danica, 2 days ago : upload presentation slide
b5a0657 - danica, 2 days ago : Merge branch 'firebase-message'
8606928 - danica, 2 days ago : Added delivery message, can show dialog
